AlertID,Attack,RiskScore,Priority,MITRE_Technique,Timestamp
1,BENIGN,10,Low,Normal Activity,2026-03-06 13:14:17
2,BENIGN,10,Low,Normal Activity,2026-03-06 13:14:17
3,BENIGN,10,Low,Normal Activity,2026-03-06 13:14:17
4,BENIGN,10,Low,Normal Activity,2026-03-06 13:14:17
5,BENIGN,10,Low,Normal Activity,2026-03-06 13:14:17
6,BENIGN,10,Low,Normal Activity,2026-03-06 13:14:17
7,BENIGN,10,Low,Normal Activity,2026-03-06 13:14:17
8,BENIGN,10,Low,Normal Activity,2026-03-06 13:14:17
9,BENIGN,10,Low,Normal Activity,2026-03-06 13:14:17
10,BENIGN,10,Low,Normal Activity,2026-03-06 13:14:17
11,PortScan,50,Medium,Reconnaissance,2026-03-06 13:14:17
12,DoS Hulk,85,High,Normal Activity,2026-03-06 13:14:17
13,DDoS,90,Critical,Impact,2026-03-06 13:14:17
14,DoS Hulk,85,High,Normal Activity,2026-03-06 13:14:17
15,DoS Hulk,85,High,Normal Activity,2026-03-06 13:14:17
16,DDoS,90,Critical,Impact,2026-03-06 13:14:17
17,DoS Hulk,85,High,Normal Activity,2026-03-06 13:14:17
18,DoS GoldenEye,85,High,Normal Activity,2026-03-06 13:14:17
19,DoS Hulk,85,High,Normal Activity,2026-03-06 13:14:17
20,DoS Hulk,85,High,Normal Activity,2026-03-06 13:14:17
1,BENIGN,10,Low,Normal Activity,2026-03-06 18:33:41
2,BENIGN,10,Low,Normal Activity,2026-03-06 18:33:44
3,BENIGN,10,Low,Normal Activity,2026-03-06 18:33:46
4,BENIGN,10,Low,Normal Activity,2026-03-06 18:33:48
5,BENIGN,10,Low,Normal Activity,2026-03-06 18:33:50
6,BENIGN,10,Low,Normal Activity,2026-03-06 18:33:52
7,BENIGN,10,Low,Normal Activity,2026-03-06 18:33:54
8,BENIGN,10,Low,Normal Activity,2026-03-06 18:33:56
9,BENIGN,10,Low,Normal Activity,2026-03-06 18:33:58
10,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:00
11,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:02
12,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:04
13,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:06
14,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:09
15,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:11
16,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:13
17,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:15
18,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:17
19,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:19
20,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:21
21,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:23
22,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:26
23,PortScan,50,Medium,Reconnaissance,2026-03-06 18:34:28
24,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:30
25,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:32
26,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:34
27,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:36
28,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:38
